exam_id,date,start_time,duration,end_time,session_size,time_slot,required_invig
0,20-May-24,9,2,11,1,1,2
1,20-May-24,9,2,11,7,1,6
2,20-May-24,9,2,11,68,1,12
3,20-May-24,9,2,11,90,1,12
4,20-May-24,9,2,11,13,1,6
5,20-May-24,11,2,13,1,2,2
6,20-May-24,11,2,13,1,2,2
7,20-May-24,11,2,13,1,2,2
8,20-May-24,11,2,13,5,2,2
9,20-May-24,11,2,13,8,2,6
10,20-May-24,13,2,15,1,3,2
11,20-May-24,13,2,15,8,3,6
12,20-May-24,13,2,15,5,3,2
13,20-May-24,13,2,15,5,3,2
14,20-May-24,13,2,15,155,3,16
,,,,,,,
